,OverTime,Attrition,JobRole,JobLevel,StockOptionLevel
1110,Yes,Yes,Laboratory Technician,Entry,Basic Level of Stock
1111,No,Yes,Manufacturing Director,Middle-Management,Basic Level of Stock
1112,No,Yes,Manufacturing Director,Associate,Medium Level of Stock
1113,No,No,Research Scientist,Associate,Basic Level of Stock
1114,No,No,Research Scientist,Entry,Basic Level of Stock
1115,No,No,Research Scientist,Entry,No
1116,No,No,Manager,C-Level,Basic Level of Stock
1117,No,No,Research Scientist,Associate,Basic Level of Stock
1118,No,No,Research Scientist,Entry,No
1119,No,No,Sales Executive,Associate,Basic Level of Stock
1120,No,No,Sales Executive,Associate,No
1121,No,No,Sales Executive,Associate,No
1122,Yes,No,Laboratory Technician,Entry,No
1123,Yes,No,Healthcare Representative,Associate,No
1124,No,No,Sales Executive,Middle-Management,Basic Level of Stock
1125,No,No,Healthcare Representative,Associate,Basic Level of Stock
1126,Yes,No,Manager,C-Level,Basic Level of Stock
1127,No,No,Research Scientist,Entry,Basic Level of Stock
1128,Yes,No,Laboratory Technician,Associate,Basic Level of Stock
1129,No,No,Manager,C-Level,No
1130,No,No,Laboratory Technician,Associate,Medium Level of Stock
1131,No,No,Healthcare Representative,Associate,Basic Level of Stock
1132,No,No,Sales Executive,Associate,Basic Level of Stock
1133,No,No,Laboratory Technician,Entry,Basic Level of Stock
1134,No,No,Laboratory Technician,Entry,Basic Level of Stock
1135,No,No,Manager,Head,No
1136,Yes,Yes,Laboratory Technician,Entry,High Level of Stock
1137,Yes,No,Research Scientist,Entry,No
1138,Yes,No,Healthcare Representative,Head,Basic Level of Stock
1139,No,No,Research Scientist,Entry,Medium Level of Stock
1140,Yes,No,Research Director,C-Level,Basic Level of Stock
1141,No,No,Research Scientist,Entry,Basic Level of Stock
1142,Yes,No,Laboratory Technician,Associate,No
1143,No,No,Sales Executive,Associate,Basic Level of Stock
1144,No,No,Sales Executive,Associate,No
1145,Yes,No,Manufacturing Director,Associate,Medium Level of Stock
1146,No,No,Manufacturing Director,Associate,Basic Level of Stock
1147,No,No,Laboratory Technician,Entry,Basic Level of Stock
1148,No,No,Manufacturing Director,Associate,High Level of Stock
1149,No,No,Laboratory Technician,Entry,Medium Level of Stock
1150,No,No,Research Scientist,Associate,No
1151,No,No,Manufacturing Director,Associate,Basic Level of Stock
1152,No,No,Research Scientist,Entry,No
1153,Yes,Yes,Sales Representative,Entry,No
1154,No,No,Manager,C-Level,Basic Level of Stock
1155,No,No,Laboratory Technician,Associate,Basic Level of Stock
1156,No,No,Manufacturing Director,Middle-Management,Medium Level of Stock
1157,No,No,Healthcare Representative,Associate,Basic Level of Stock
1158,No,No,Manufacturing Director,Associate,High Level of Stock
1159,No,No,Manufacturing Director,Associate,No
1160,No,No,Manufacturing Director,Associate,Medium Level of Stock
1161,Yes,No,Manufacturing Director,Middle-Management,Basic Level of Stock
1162,No,Yes,Sales Executive,Middle-Management,No
1163,No,No,Research Scientist,Entry,Basic Level of Stock
1164,Yes,No,Manufacturing Director,Middle-Management,No
1165,Yes,No,Human Resources,Associate,No
1166,No,No,Manager,Head,Basic Level of Stock
1167,Yes,Yes,Sales Executive,Associate,Medium Level of Stock
1168,Yes,No,Research Scientist,Entry,No
1169,No,No,Research Scientist,Entry,No
1170,No,No,Research Scientist,Entry,No
1171,Yes,Yes,Laboratory Technician,Entry,No
1172,No,No,Sales Executive,Associate,No
1173,No,No,Healthcare Representative,Middle-Management,Medium Level of Stock
1174,No,No,Manufacturing Director,Associate,Medium Level of Stock
1175,No,No,Manufacturing Director,Associate,No
1176,No,No,Research Director,Head,Medium Level of Stock
1177,No,No,Research Director,Middle-Management,High Level of Stock
1178,No,No,Sales Representative,Entry,No
1179,No,No,Research Scientist,Associate,Basic Level of Stock
1180,No,No,Laboratory Technician,Entry,No
1181,Yes,No,Healthcare Representative,Head,Basic Level of Stock
1182,No,No,Manufacturing Director,Associate,No
1183,No,No,Healthcare Representative,Associate,Basic Level of Stock
1184,No,No,Manager,Head,Basic Level of Stock
1185,No,No,Research Director,Head,Basic Level of Stock
1186,Yes,Yes,Sales Executive,Associate,No
1187,No,No,Research Scientist,Associate,Medium Level of Stock
1188,Yes,No,Sales Executive,Associate,Basic Level of Stock
1189,No,No,Sales Executive,Associate,Medium Level of Stock
1190,No,No,Research Scientist,Associate,Medium Level of Stock
1191,No,No,Sales Executive,Associate,Medium Level of Stock
1192,Yes,No,Laboratory Technician,Entry,Basic Level of Stock
1193,No,No,Laboratory Technician,Entry,No
1194,No,No,Manager,Head,High Level of Stock
1195,No,No,Manager,Head,No
1196,Yes,No,Sales Executive,Middle-Management,No
1197,No,No,Sales Representative,Entry,No
1198,Yes,No,Sales Executive,Associate,Basic Level of Stock
1199,No,No,Healthcare Representative,Associate,Medium Level of Stock
1200,Yes,No,Human Resources,Entry,High Level of Stock
1201,Yes,Yes,Laboratory Technician,Entry,No
1202,No,No,Laboratory Technician,Entry,Basic Level of Stock
1203,No,No,Healthcare Representative,Middle-Management,No
1204,Yes,Yes,Sales Representative,Entry,Medium Level of Stock
1205,No,Yes,Laboratory Technician,Entry,No
1206,No,No,Laboratory Technician,Entry,No
1207,No,No,Research Scientist,Entry,Basic Level of Stock
1208,No,No,Laboratory Technician,Associate,Basic Level of Stock
1209,No,No,Healthcare Representative,Middle-Management,Basic Level of Stock
1210,No,No,Laboratory Technician,Entry,High Level of Stock
1211,No,No,Sales Executive,Associate,Medium Level of Stock
1212,No,No,Research Scientist,Entry,No
1213,Yes,Yes,Sales Representative,Entry,Basic Level of Stock
1214,Yes,No,Healthcare Representative,Middle-Management,Basic Level of Stock
1215,Yes,No,Research Scientist,Entry,No
1216,Yes,No,Sales Executive,Associate,Basic Level of Stock
1217,No,No,Research Scientist,Entry,Basic Level of Stock
1218,No,No,Sales Executive,Middle-Management,No
1219,No,No,Laboratory Technician,Entry,Basic Level of Stock
1220,No,No,Sales Representative,Associate,No
1221,No,No,Healthcare Representative,Middle-Management,Basic Level of Stock
1222,No,Yes,Human Resources,Entry,Basic Level of Stock
1223,No,Yes,Sales Executive,Head,No
1224,No,No,Laboratory Technician,Entry,High Level of Stock
1225,No,No,Research Director,Head,No
1226,No,No,Research Scientist,Entry,Basic Level of Stock
1227,No,No,Laboratory Technician,Entry,Basic Level of Stock
1228,No,No,Human Resources,Associate,Basic Level of Stock
1229,Yes,No,Manufacturing Director,Associate,Basic Level of Stock
1230,No,No,Laboratory Technician,Entry,High Level of Stock
1231,No,No,Healthcare Representative,Associate,No
1232,No,No,Manufacturing Director,Associate,Basic Level of Stock
1233,No,No,Research Scientist,Entry,Basic Level of Stock
1234,No,No,Sales Executive,Associate,Basic Level of Stock
1235,Yes,No,Sales Executive,Middle-Management,Basic Level of Stock
1236,Yes,Yes,Sales Executive,Associate,High Level of Stock
1237,No,Yes,Sales Executive,Associate,No
1238,No,No,Laboratory Technician,Entry,No
1239,No,No,Manufacturing Director,Associate,No
1240,Yes,No,Laboratory Technician,Associate,Basic Level of Stock
1241,No,No,Sales Executive,Middle-Management,Basic Level of Stock
1242,No,No,Manager,C-Level,No
1243,No,No,Human Resources,Middle-Management,Medium Level of Stock
1244,No,No,Research Scientist,Entry,No
1245,No,No,Human Resources,Entry,Basic Level of Stock
1246,No,Yes,Human Resources,Entry,Basic Level of Stock
1247,No,No,Sales Executive,Associate,Basic Level of Stock
1248,No,No,Research Scientist,Entry,No
1249,No,Yes,Sales Representative,Entry,No
1250,Yes,No,Healthcare Representative,Associate,No
1251,No,No,Sales Executive,Middle-Management,Basic Level of Stock
1252,Yes,No,Research Scientist,Entry,High Level of Stock
1253,No,No,Sales Executive,Associate,No
1254,No,No,Sales Executive,Associate,No
1255,Yes,Yes,Sales Executive,Middle-Management,No
1256,No,No,Laboratory Technician,Entry,Basic Level of Stock
1257,No,Yes,Sales Executive,Middle-Management,High Level of Stock
1258,No,No,Research Scientist,Entry,Basic Level of Stock
1259,No,No,Healthcare Representative,Associate,Basic Level of Stock
1260,No,No,Research Scientist,Entry,No
1261,Yes,No,Healthcare Representative,Associate,Basic Level of Stock
1262,Yes,Yes,Research Scientist,Entry,Basic Level of Stock
1263,No,No,Laboratory Technician,Entry,High Level of Stock
1264,No,No,Research Director,C-Level,High Level of Stock
1265,No,No,Research Scientist,Associate,Medium Level of Stock
1266,No,No,Laboratory Technician,Entry,Medium Level of Stock
1267,Yes,No,Sales Executive,Associate,Basic Level of Stock
1268,Yes,No,Manufacturing Director,Head,High Level of Stock
1269,No,No,Human Resources,Entry,No
1270,No,No,Sales Executive,Associate,No
1271,No,Yes,Sales Representative,Entry,No
1272,No,No,Laboratory Technician,Entry,Basic Level of Stock
1273,Yes,Yes,Laboratory Technician,Entry,No
1274,No,No,Sales Executive,Associate,Medium Level of Stock
1275,No,No,Manager,Middle-Management,No
1276,No,No,Sales Executive,Associate,Medium Level of Stock
1277,Yes,No,Research Director,C-Level,Basic Level of Stock
1278,Yes,No,Healthcare Representative,Middle-Management,Basic Level of Stock
1279,Yes,Yes,Research Scientist,Entry,High Level of Stock
1280,No,No,Human Resources,Associate,No
1281,Yes,Yes,Sales Executive,Associate,No
1282,No,No,Research Scientist,Entry,Basic Level of Stock
1283,No,No,Research Scientist,Entry,Basic Level of Stock
1284,No,No,Research Director,Middle-Management,No
1285,No,No,Sales Executive,Associate,No
1286,No,No,Laboratory Technician,Entry,Basic Level of Stock
1287,No,No,Healthcare Representative,Associate,Medium Level of Stock
1288,No,No,Manufacturing Director,Associate,Basic Level of Stock
1289,No,No,Human Resources,Entry,High Level of Stock
1290,No,Yes,Laboratory Technician,Associate,Basic Level of Stock
1291,No,Yes,Manufacturing Director,Associate,No
1292,No,No,Sales Executive,Associate,Basic Level of Stock
1293,No,No,Research Scientist,Entry,No
1294,No,No,Healthcare Representative,Associate,No
1295,Yes,No,Sales Executive,Middle-Management,Basic Level of Stock
1296,No,No,Manufacturing Director,Middle-Management,No
1297,Yes,Yes,Human Resources,Entry,No
1298,No,Yes,Healthcare Representative,Associate,Basic Level of Stock
1299,No,No,Healthcare Representative,Associate,Basic Level of Stock
1300,No,No,Sales Executive,Associate,Medium Level of Stock
1301,No,No,Manager,Head,Basic Level of Stock
1302,No,No,Laboratory Technician,Entry,Basic Level of Stock
1303,Yes,No,Manufacturing Director,Middle-Management,Basic Level of Stock
1304,No,No,Healthcare Representative,Associate,Basic Level of Stock
1305,No,No,Research Scientist,Associate,Basic Level of Stock
1306,No,No,Sales Executive,Middle-Management,Medium Level of Stock
1307,No,No,Research Scientist,Entry,Basic Level of Stock
1308,Yes,No,Sales Representative,Associate,Medium Level of Stock
1309,No,No,Sales Executive,Associate,No
1310,Yes,No,Research Director,Head,No
1311,No,No,Research Scientist,Entry,No
1312,No,Yes,Human Resources,Entry,No
1313,Yes,Yes,Human Resources,Entry,High Level of Stock
1314,No,No,Sales Executive,Associate,Medium Level of Stock
1315,Yes,No,Research Scientist,Associate,Basic Level of Stock
1316,No,No,Sales Executive,Associate,Basic Level of Stock
1317,Yes,No,Laboratory Technician,Entry,No
1318,No,No,Laboratory Technician,Entry,No
1319,No,No,Sales Executive,Associate,No
1320,No,No,Research Scientist,Entry,Medium Level of Stock
1321,No,No,Laboratory Technician,Entry,No
1322,No,No,Manufacturing Director,Middle-Management,Basic Level of Stock
1323,No,No,Human Resources,Entry,Basic Level of Stock
1324,No,No,Healthcare Representative,Associate,Medium Level of Stock
1325,No,No,Laboratory Technician,Entry,No
1326,Yes,Yes,Sales Executive,Associate,No
1327,No,No,Sales Executive,Head,Basic Level of Stock
1328,No,No,Sales Representative,Associate,Basic Level of Stock
1329,No,No,Human Resources,Entry,No
1330,No,No,Manager,C-Level,No
1331,No,No,Research Director,C-Level,No
1332,Yes,Yes,Research Scientist,Entry,No
1333,No,Yes,Sales Executive,Middle-Management,High Level of Stock
1334,No,No,Research Scientist,Entry,Basic Level of Stock
1335,No,No,Research Scientist,Associate,High Level of Stock
1336,No,No,Research Scientist,Entry,Basic Level of Stock
1337,No,No,Sales Representative,Entry,Basic Level of Stock
1338,No,Yes,Sales Representative,Entry,No
1339,Yes,Yes,Research Scientist,Entry,No
1340,Yes,No,Sales Executive,Associate,Basic Level of Stock
1341,No,No,Laboratory Technician,Associate,Basic Level of Stock
1342,Yes,No,Sales Executive,Middle-Management,High Level of Stock
1343,No,No,Laboratory Technician,Entry,No
1344,Yes,No,Research Scientist,Associate,Basic Level of Stock
1345,Yes,No,Manufacturing Director,Associate,No
1346,No,No,Manufacturing Director,Associate,Medium Level of Stock
1347,No,No,Human Resources,Associate,No
1348,No,No,Manager,Head,Basic Level of Stock
1349,Yes,No,Research Scientist,Entry,Basic Level of Stock
1350,No,No,Sales Executive,Associate,No
1351,No,No,Manager,Head,Basic Level of Stock
1352,No,No,Healthcare Representative,Associate,Basic Level of Stock
1353,Yes,Yes,Research Scientist,Entry,Basic Level of Stock
1354,No,Yes,Laboratory Technician,Entry,No
1355,No,No,Sales Executive,Associate,Medium Level of Stock
1356,No,No,Sales Executive,Associate,Basic Level of Stock
1357,No,No,Research Director,Middle-Management,Basic Level of Stock
1358,Yes,No,Sales Executive,Associate,Basic Level of Stock
1359,Yes,No,Sales Executive,Associate,No
1360,No,No,Laboratory Technician,Entry,Basic Level of Stock
1361,No,No,Laboratory Technician,Entry,Basic Level of Stock
1362,No,No,Healthcare Representative,Associate,No
1363,No,No,Sales Executive,Associate,No
1364,Yes,No,Sales Executive,Associate,Basic Level of Stock
1365,No,Yes,Sales Representative,Entry,No
1366,No,No,Sales Executive,Associate,Basic Level of Stock
1367,No,No,Research Scientist,Entry,Basic Level of Stock
1368,Yes,No,Research Scientist,Associate,No
1369,Yes,Yes,Sales Executive,Associate,No
1370,No,No,Research Scientist,Associate,Basic Level of Stock
1371,No,No,Sales Executive,Associate,Basic Level of Stock
1372,No,No,Manufacturing Director,Associate,Basic Level of Stock
1373,Yes,No,Research Scientist,Associate,Basic Level of Stock
1374,Yes,No,Manager,Head,Basic Level of Stock
1375,Yes,Yes,Research Scientist,Entry,No
1376,No,No,Research Scientist,Entry,Medium Level of Stock
1377,No,No,Research Director,C-Level,No
1378,Yes,No,Sales Executive,Associate,Medium Level of Stock
1379,No,Yes,Human Resources,Entry,No
1380,No,No,Sales Executive,Associate,Basic Level of Stock
1381,No,No,Research Scientist,Entry,No
1382,Yes,No,Research Scientist,Entry,Basic Level of Stock
1383,No,No,Laboratory Technician,Entry,No
1384,No,No,Sales Executive,Middle-Management,No
1385,No,No,Sales Executive,Middle-Management,Basic Level of Stock
1386,No,No,Laboratory Technician,Entry,No
1387,No,No,Healthcare Representative,Associate,Basic Level of Stock
1388,No,No,Healthcare Representative,Associate,Basic Level of Stock
1389,No,No,Research Scientist,Associate,No
1390,No,Yes,Laboratory Technician,Entry,Basic Level of Stock
1391,No,No,Sales Representative,Entry,No
1392,Yes,No,Sales Executive,Associate,No
1393,No,No,Sales Executive,Associate,No
1394,No,No,Manufacturing Director,Associate,No
1395,Yes,Yes,Sales Executive,Associate,No
1396,Yes,Yes,Sales Executive,Middle-Management,No
1397,No,No,Research Scientist,Associate,Medium Level of Stock
1398,No,No,Healthcare Representative,Associate,High Level of Stock
1399,No,No,Healthcare Representative,Middle-Management,Basic Level of Stock
1400,Yes,No,Human Resources,Entry,Basic Level of Stock
1401,Yes,No,Manager,C-Level,Basic Level of Stock
1402,Yes,No,Laboratory Technician,Entry,High Level of Stock
1403,No,No,Sales Executive,Head,No
1404,No,No,Research Scientist,Associate,No
1405,No,No,Research Director,Middle-Management,Basic Level of Stock
1406,Yes,No,Manufacturing Director,Associate,No
1407,No,No,Healthcare Representative,Associate,No
1408,No,No,Laboratory Technician,Entry,No
1409,No,No,Laboratory Technician,Associate,Basic Level of Stock
1410,No,No,Sales Executive,Associate,Basic Level of Stock
1411,No,No,Human Resources,Entry,No
1412,No,No,Laboratory Technician,Entry,No
1413,Yes,No,Laboratory Technician,Entry,Basic Level of Stock
1414,No,No,Healthcare Representative,Middle-Management,No
1415,No,No,Laboratory Technician,Entry,High Level of Stock
1416,No,No,Sales Executive,Associate,Medium Level of Stock
1417,No,No,Sales Representative,Entry,Basic Level of Stock
1418,No,No,Manufacturing Director,Associate,Basic Level of Stock
1419,Yes,No,Research Scientist,Associate,Basic Level of Stock
1420,No,No,Research Scientist,Entry,Basic Level of Stock
1421,No,No,Research Director,Middle-Management,Medium Level of Stock
1422,Yes,No,Laboratory Technician,Entry,Basic Level of Stock
1423,No,No,Research Scientist,Entry,No
1424,No,No,Research Scientist,Associate,No
1425,Yes,No,Healthcare Representative,Associate,Basic Level of Stock
1426,No,No,Laboratory Technician,Entry,No
1427,No,No,Laboratory Technician,Entry,Medium Level of Stock
1428,No,No,Sales Representative,Entry,Basic Level of Stock
1429,No,No,Research Scientist,Associate,No
1430,No,No,Research Director,Middle-Management,Basic Level of Stock
1431,No,No,Sales Executive,Middle-Management,Medium Level of Stock
1432,Yes,No,Research Director,Middle-Management,Basic Level of Stock
1433,Yes,No,Sales Executive,Associate,Basic Level of Stock
1434,No,No,Sales Representative,Entry,Medium Level of Stock
1435,Yes,No,Research Scientist,Entry,No
1436,Yes,No,Sales Representative,Entry,No
1437,No,No,Manager,C-Level,No
1438,No,Yes,Sales Representative,Entry,Basic Level of Stock
1439,No,No,Sales Executive,Middle-Management,Medium Level of Stock
1440,No,No,Manufacturing Director,Associate,High Level of Stock
1441,No,No,Healthcare Representative,Associate,Basic Level of Stock
1442,Yes,Yes,Research Scientist,Entry,High Level of Stock
1443,No,No,Manager,C-Level,No
1444,No,Yes,Laboratory Technician,Entry,Basic Level of Stock
1445,No,No,Manufacturing Director,Head,Basic Level of Stock
1446,No,No,Sales Executive,Associate,Medium Level of Stock
1447,No,No,Sales Executive,Associate,Basic Level of Stock
1448,No,No,Sales Executive,Associate,Basic Level of Stock
1449,No,No,Research Scientist,Entry,No
1450,Yes,No,Human Resources,Middle-Management,No
1451,No,No,Sales Executive,Associate,Basic Level of Stock
1452,No,Yes,Sales Executive,Associate,Medium Level of Stock
1453,No,No,Sales Executive,Associate,Basic Level of Stock
1454,No,No,Sales Executive,Associate,No
1455,No,No,Research Scientist,Entry,No
1456,Yes,No,Healthcare Representative,Associate,Medium Level of Stock
1457,No,No,Research Scientist,Entry,High Level of Stock
1458,No,No,Research Scientist,Entry,Basic Level of Stock
1459,Yes,No,Laboratory Technician,Associate,Basic Level of Stock
1460,No,No,Research Scientist,Entry,No
1461,Yes,Yes,Sales Executive,Middle-Management,Basic Level of Stock
1462,No,No,Sales Executive,Head,Basic Level of Stock
1463,No,No,Manufacturing Director,Associate,No
1464,No,No,Sales Representative,Entry,No
1465,No,No,Laboratory Technician,Associate,Basic Level of Stock
1466,No,No,Healthcare Representative,Middle-Management,Basic Level of Stock
1467,Yes,No,Manufacturing Director,Associate,Basic Level of Stock
1468,No,No,Sales Executive,Associate,No
1469,No,No,Laboratory Technician,Associate,No
